Sample,Sim_Id,AgeBin,Year,NationalARTPrevalence--Beta-beta,Count,Gender,NationalARTPrevalence--Beta-alpha,NationalARTPrevalence,Prevalence
396,46a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2011,736.6,1226.0,Male,491.40000000000003,0.4,0.2292432035268185
396,46a45229-abb6-e811-a2c0-c4346bcb7275,"[15, 25)",2011,3309.7000000000003,4035.0,Female,727.3,0.18,0.3174061433447099
396,46a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2011,2555.08,3756.0,Female,1202.92,0.32,0.4609958506224066
396,46a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2011,1226.8000000000002,2270.0,Female,1045.2,0.46,0.25396825396825395
396,46a45229-abb6-e811-a2c0-c4346bcb7275,"[15, 25)",2016,1199.08,1872.0,Male,674.92,0.36,0.4746376811594203
396,46a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2016,624.2,1558.0,Male,935.8,0.6,0.7667161961367014
396,46a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2016,186.04,771.0,Male,586.96,0.76,0.7731767614338689
396,46a45229-abb6-e811-a2c0-c4346bcb7275,"[15, 25)",2016,935.8000000000001,2337.0,Female,1403.2,0.6,0.7007223942208463
396,46a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2016,435.9999999999999,2175.0,Female,1741.0,0.8,0.8371837183718371
396,46a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2016,132.49999999999997,1315.0,Female,1184.5,0.9,0.7514099783080259
395,47a45229-abb6-e811-a2c0-c4346bcb7275,"[15, 25)",2011,2738.92,2976.0,Male,239.08,0.08,0.17543859649122806
395,47a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2011,1957.0400000000002,2476.0,Male,520.96,0.21,0.4155653450807636
395,47a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2011,736.6,1226.0,Male,491.40000000000003,0.4,0.20331651045421767
395,47a45229-abb6-e811-a2c0-c4346bcb7275,"[15, 25)",2011,3309.7000000000003,4035.0,Female,727.3,0.18,0.31310211946050104
395,47a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2011,2555.08,3756.0,Female,1202.92,0.32,0.468712151796528
395,47a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2011,1226.8000000000002,2270.0,Female,1045.2,0.46,0.2702860478692353
395,47a45229-abb6-e811-a2c0-c4346bcb7275,"[15, 25)",2016,1199.08,1872.0,Male,674.92,0.36,0.4954128440366973
395,47a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2016,624.2,1558.0,Male,935.8,0.6,0.7667953667953668
395,47a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2016,186.04,771.0,Male,586.96,0.76,0.7503217503217503
395,47a45229-abb6-e811-a2c0-c4346bcb7275,"[15, 25)",2016,935.8000000000001,2337.0,Female,1403.2,0.6,0.7056323060573858
395,47a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2016,435.9999999999999,2175.0,Female,1741.0,0.8,0.8155564112437428
395,47a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2016,132.49999999999997,1315.0,Female,1184.5,0.9,0.7583120204603581
394,48a45229-abb6-e811-a2c0-c4346bcb7275,"[15, 25)",2011,2738.92,2976.0,Male,239.08,0.08,0.22375
394,48a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2011,1957.0400000000002,2476.0,Male,520.96,0.21,0.41647597254004576
394,48a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2011,736.6,1226.0,Male,491.40000000000003,0.4,0.2323699421965318
394,48a45229-abb6-e811-a2c0-c4346bcb7275,"[15, 25)",2011,3309.7000000000003,4035.0,Female,727.3,0.18,0.3461538461538461
394,48a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2011,2555.08,3756.0,Female,1202.92,0.32,0.5042492917847026
394,48a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2011,1226.8000000000002,2270.0,Female,1045.2,0.46,0.297008547008547
394,48a45229-abb6-e811-a2c0-c4346bcb7275,"[15, 25)",2016,1199.08,1872.0,Male,674.92,0.36,0.5996732026143791
394,48a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2016,624.2,1558.0,Male,935.8,0.6,0.7952079566003617
394,48a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2016,186.04,771.0,Male,586.96,0.76,0.7441629408842524
394,48a45229-abb6-e811-a2c0-c4346bcb7275,"[15, 25)",2016,935.8000000000001,2337.0,Female,1403.2,0.6,0.7160566706021252
394,48a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2016,435.9999999999999,2175.0,Female,1741.0,0.8,0.8531031031031031
394,48a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2016,132.49999999999997,1315.0,Female,1184.5,0.9,0.7809052871814378
393,49a45229-abb6-e811-a2c0-c4346bcb7275,"[15, 25)",2011,2738.92,2976.0,Male,239.08,0.08,0.18888888888888888
393,49a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2011,1957.0400000000002,2476.0,Male,520.96,0.21,0.4436898698358801
393,49a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2011,736.6,1226.0,Male,491.40000000000003,0.4,0.26495726495726496
393,49a45229-abb6-e811-a2c0-c4346bcb7275,"[15, 25)",2011,3309.7000000000003,4035.0,Female,727.3,0.18,0.3590070019096117
393,49a45229-abb6-e811-a2c0-c4346bcb7275,"[25, 35)",2011,2555.08,3756.0,Female,1202.92,0.32,0.5625199872081867
393,49a45229-abb6-e811-a2c0-c4346bcb7275,"[35, 45)",2011,1226.8000000000002,2270.0,Female,1045.2,0.46,0.3208916537065837
