Sample,Sim_Id,Prevalence,AgeBin,NationalARTPrevalence,Count,NationalARTPrevalence--Beta-beta,NationalARTPrevalence--Beta-alpha,Gender,Year
397,b95ca9f7-12b6-e811-a2c0-c4346bcb7275,0.3317358892438765,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
397,b95ca9f7-12b6-e811-a2c0-c4346bcb7275,0.626410835214447,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
397,b95ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7950624628197501,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
397,b95ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7822517591868647,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
397,b95ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7243415077202543,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
397,b95ca9f7-12b6-e811-a2c0-c4346bcb7275,0.856241372510353,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
397,b95ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8029357798165138,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
395,bb5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.1977186311787072,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
395,bb5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.4539813857290589,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
395,bb5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.2557377049180328,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
395,bb5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.32452681388012616,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
395,bb5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5178348715390372,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
395,bb5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.26200640341515474,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
395,bb5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.6146666666666667,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
395,bb5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7875432525951557,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
395,bb5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7750105529759392,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
395,bb5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7138671875,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
395,bb5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8544386422976501,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
395,bb5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8002936857562408,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
394,bc5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.2395577395577396,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
394,bc5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.44811905746176106,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
394,bc5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.2131782945736434,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
394,bc5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.32816901408450705,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
394,bc5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.525428338319282,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
394,bc5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.2921978582355941,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
394,bc5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.6349480968858131,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
394,bc5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7817195325542571,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
394,bc5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7481351469942957,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
394,bc5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7131300560049783,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
394,bc5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8490349264705882,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
394,bc5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7866763742264288,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
393,bd5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.2116591928251121,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
393,bd5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.4622928643895841,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
393,bd5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.21796116504854368,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
393,bd5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.3485984998026056,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
393,bd5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5428024868483979,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
393,bd5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.30337612933903946,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
393,bd5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5987341772151898,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
393,bd5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7960301163586585,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
393,bd5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7648890618917867,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
393,bd5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7074388417373939,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
393,bd5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8503588011819333,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
393,bd5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7893134934054785,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
392,be5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.20730397422126745,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
392,be5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.4357034795763994,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
392,be5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.2456661713719663,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
392,be5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.33670653173873044,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
392,be5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5274725274725275,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
392,be5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.2882882882882883,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
392,be5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.5869894099848714,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
392,be5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8001528467711121,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
392,be5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7667076670766708,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
392,be5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.7066265060240964,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
392,be5ca9f7-12b6-e811-a2c0-c4346bcb7275,0.8315366730078207,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
