Sample,Sim_Id,Prevalence,AgeBin,NationalARTPrevalence,Count,NationalARTPrevalence--Beta-beta,NationalARTPrevalence--Beta-alpha,Gender,Year
397,46c4a299-1cb6-e811-a2c0-c4346bcb7275,0.18845315904139434,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
397,46c4a299-1cb6-e811-a2c0-c4346bcb7275,0.4317749904979095,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
397,46c4a299-1cb6-e811-a2c0-c4346bcb7275,0.201815269620929,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
397,46c4a299-1cb6-e811-a2c0-c4346bcb7275,0.30945054945054945,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
397,46c4a299-1cb6-e811-a2c0-c4346bcb7275,0.4989512323020451,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
397,46c4a299-1cb6-e811-a2c0-c4346bcb7275,0.2572741194486983,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
397,46c4a299-1cb6-e811-a2c0-c4346bcb7275,0.5836909871244635,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
397,46c4a299-1cb6-e811-a2c0-c4346bcb7275,0.7779051987767585,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
397,46c4a299-1cb6-e811-a2c0-c4346bcb7275,0.7707612456747405,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
397,46c4a299-1cb6-e811-a2c0-c4346bcb7275,0.7341137123745819,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
397,46c4a299-1cb6-e811-a2c0-c4346bcb7275,0.8504863153132776,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
397,46c4a299-1cb6-e811-a2c0-c4346bcb7275,0.7993197278911565,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
396,47c4a299-1cb6-e811-a2c0-c4346bcb7275,0.22206303724928367,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
396,47c4a299-1cb6-e811-a2c0-c4346bcb7275,0.4712230215827338,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
396,47c4a299-1cb6-e811-a2c0-c4346bcb7275,0.2524271844660194,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
396,47c4a299-1cb6-e811-a2c0-c4346bcb7275,0.3403805496828753,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
396,47c4a299-1cb6-e811-a2c0-c4346bcb7275,0.5452981651376146,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
396,47c4a299-1cb6-e811-a2c0-c4346bcb7275,0.3019495958155017,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
396,47c4a299-1cb6-e811-a2c0-c4346bcb7275,0.5744680851063829,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
396,47c4a299-1cb6-e811-a2c0-c4346bcb7275,0.7862232779097387,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
396,47c4a299-1cb6-e811-a2c0-c4346bcb7275,0.7705281846426987,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
396,47c4a299-1cb6-e811-a2c0-c4346bcb7275,0.7257745550428477,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
396,47c4a299-1cb6-e811-a2c0-c4346bcb7275,0.8339950372208437,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
396,47c4a299-1cb6-e811-a2c0-c4346bcb7275,0.7651962486974644,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
399,42c4a299-1cb6-e811-a2c0-c4346bcb7275,0.21957340025094105,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
399,42c4a299-1cb6-e811-a2c0-c4346bcb7275,0.4433923425277892,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
399,42c4a299-1cb6-e811-a2c0-c4346bcb7275,0.21208963001563316,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
399,42c4a299-1cb6-e811-a2c0-c4346bcb7275,0.3556085918854415,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
399,42c4a299-1cb6-e811-a2c0-c4346bcb7275,0.5541452876046449,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
399,42c4a299-1cb6-e811-a2c0-c4346bcb7275,0.2907088122605364,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
399,42c4a299-1cb6-e811-a2c0-c4346bcb7275,0.5844594594594594,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
399,42c4a299-1cb6-e811-a2c0-c4346bcb7275,0.7840909090909091,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
399,42c4a299-1cb6-e811-a2c0-c4346bcb7275,0.7488312792180195,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
399,42c4a299-1cb6-e811-a2c0-c4346bcb7275,0.6971962616822429,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
399,42c4a299-1cb6-e811-a2c0-c4346bcb7275,0.8398798521256932,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
399,42c4a299-1cb6-e811-a2c0-c4346bcb7275,0.7777380100214746,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
398,45c4a299-1cb6-e811-a2c0-c4346bcb7275,0.22647283856159145,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
398,45c4a299-1cb6-e811-a2c0-c4346bcb7275,0.44225721784776895,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
398,45c4a299-1cb6-e811-a2c0-c4346bcb7275,0.2220447284345048,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
398,45c4a299-1cb6-e811-a2c0-c4346bcb7275,0.33959685685001706,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
398,45c4a299-1cb6-e811-a2c0-c4346bcb7275,0.5509655340992422,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
398,45c4a299-1cb6-e811-a2c0-c4346bcb7275,0.3213470319634703,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
398,45c4a299-1cb6-e811-a2c0-c4346bcb7275,0.6426364572605562,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
398,45c4a299-1cb6-e811-a2c0-c4346bcb7275,0.8076555023923445,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
398,45c4a299-1cb6-e811-a2c0-c4346bcb7275,0.7523730912092448,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
398,45c4a299-1cb6-e811-a2c0-c4346bcb7275,0.7359231776516805,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
398,45c4a299-1cb6-e811-a2c0-c4346bcb7275,0.8583850931677018,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
398,45c4a299-1cb6-e811-a2c0-c4346bcb7275,0.8163109756097561,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
395,48c4a299-1cb6-e811-a2c0-c4346bcb7275,0.19858156028368795,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
395,48c4a299-1cb6-e811-a2c0-c4346bcb7275,0.42741208295761945,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
395,48c4a299-1cb6-e811-a2c0-c4346bcb7275,0.21730067743616466,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
395,48c4a299-1cb6-e811-a2c0-c4346bcb7275,0.3172669491525424,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
395,48c4a299-1cb6-e811-a2c0-c4346bcb7275,0.4853651605569764,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
395,48c4a299-1cb6-e811-a2c0-c4346bcb7275,0.2725546058879392,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
395,48c4a299-1cb6-e811-a2c0-c4346bcb7275,0.5411089866156787,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
395,48c4a299-1cb6-e811-a2c0-c4346bcb7275,0.7744429286039108,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
395,48c4a299-1cb6-e811-a2c0-c4346bcb7275,0.7567210224768621,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
395,48c4a299-1cb6-e811-a2c0-c4346bcb7275,0.7157676348547718,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
395,48c4a299-1cb6-e811-a2c0-c4346bcb7275,0.8343527013251784,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
395,48c4a299-1cb6-e811-a2c0-c4346bcb7275,0.7847392369618481,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
394,49c4a299-1cb6-e811-a2c0-c4346bcb7275,0.2393340270551509,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
394,49c4a299-1cb6-e811-a2c0-c4346bcb7275,0.456610800744879,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
394,49c4a299-1cb6-e811-a2c0-c4346bcb7275,0.2335164835164835,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
394,49c4a299-1cb6-e811-a2c0-c4346bcb7275,0.3768176152887412,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
394,49c4a299-1cb6-e811-a2c0-c4346bcb7275,0.5520079820404091,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
394,49c4a299-1cb6-e811-a2c0-c4346bcb7275,0.31967603620771795,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
