Sample,Sim_Id,Prevalence,AgeBin,NationalARTPrevalence,Count,NationalARTPrevalence--Beta-beta,NationalARTPrevalence--Beta-alpha,Gender,Year
399,833e4dfc-23b6-e811-a2c0-c4346bcb7275,0.5683690280065898,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
399,833e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7673107890499195,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
399,833e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7413793103448276,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
399,833e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7079058539529269,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
399,833e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8247883349012229,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
399,833e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7796666666666666,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
395,873e4dfc-23b6-e811-a2c0-c4346bcb7275,0.2333099086437105,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
395,873e4dfc-23b6-e811-a2c0-c4346bcb7275,0.4853399875233936,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
395,873e4dfc-23b6-e811-a2c0-c4346bcb7275,0.2974413646055437,"[35, 45)",0.4,1226.0,736.6,491.40000000000003,Male,2011
395,873e4dfc-23b6-e811-a2c0-c4346bcb7275,0.36569148936170215,"[15, 25)",0.18,4035.0,3309.7000000000003,727.3,Female,2011
395,873e4dfc-23b6-e811-a2c0-c4346bcb7275,0.5805426546076754,"[25, 35)",0.32,3756.0,2555.08,1202.92,Female,2011
395,873e4dfc-23b6-e811-a2c0-c4346bcb7275,0.34968625213919,"[35, 45)",0.46,2270.0,1226.8000000000002,1045.2,Female,2011
395,873e4dfc-23b6-e811-a2c0-c4346bcb7275,0.6149312377210217,"[15, 25)",0.36,1872.0,1199.08,674.92,Male,2016
395,873e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8110976349302608,"[25, 35)",0.6,1558.0,624.2,935.8,Male,2016
395,873e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8031212484993998,"[35, 45)",0.76,771.0,186.04,586.96,Male,2016
395,873e4dfc-23b6-e811-a2c0-c4346bcb7275,0.7112299465240641,"[15, 25)",0.6,2337.0,935.8000000000001,1403.2,Female,2016
395,873e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8537126715092817,"[25, 35)",0.8,2175.0,435.9999999999999,1741.0,Female,2016
395,873e4dfc-23b6-e811-a2c0-c4346bcb7275,0.8217441413753361,"[35, 45)",0.9,1315.0,132.49999999999997,1184.5,Female,2016
394,883e4dfc-23b6-e811-a2c0-c4346bcb7275,0.18731117824773413,"[15, 25)",0.08,2976.0,2738.92,239.08,Male,2011
394,883e4dfc-23b6-e811-a2c0-c4346bcb7275,0.4144702842377261,"[25, 35)",0.21,2476.0,1957.0400000000002,520.96,Male,2011
